Site County Name,vstotal,co2e,addtl_co2e_if_pasture,addtl_co2e_if_solid,addtl_co2e_if_liquid,addtl_co2e_if_mean,total_co2e_low_est,total_co2e_mean_est,total_co2e_high_est
Anoka,458905.6125,7304.416647103127,0,0,0,0,7304.416647103127,7304.416647103127,7304.416647103127
Carver,45567260.15231813,1383266.1029232237,41996.58926787104,83993.17853574207,1049914.7316967759,377969.30341083935,1425262.6921910949,1761235.406334063,2433180.83462
Dakota,47824449.21554781,1361652.1316951679,48917.41534231987,97834.83068463975,1222935.3835579967,440256.7380808788,1410569.5470374878,1801908.8697760466,2584587.515253165
Hennepin,1404966.39125,23264.677847317504,647.441628100575,1294.88325620115,16186.040702514374,5826.974652905175,23912.11947541808,29091.652500222677,39450.71854983188
Ramsey,909836.6747999999,10878.273154980001,2949.2687323652694,5898.537464730539,73731.71830913174,26543.418591287427,13827.54188734527,37421.69174626743,84609.99146411175
Scott,40070385.330066875,1871651.0680141721,6427.704005198176,12855.408010396352,160692.6001299544,57849.336046783574,1878078.7720193702,1929500.4040609556,2032343.6681441264
Washington,1070562.10875,6293.459646267188,0,0,0,0,6293.459646267188,6293.459646267188,6293.459646267188
